"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 05 09:12:39 GMT 2024","Tue Mar 05 09:12:39 GMT 2024","71","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithSpecialSymbolInNameTest","unsuccessfulProjectCreationWithSpecialSymbolInNameTest",""
"passed","Tue Mar 05 09:12:22 GMT 2024","Tue Mar 05 09:12:22 GMT 2024","130","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWithProjectNullTest","unsuccessfulBuildConfigurationWithProjectNullTest",""
"failed","Tue Mar 05 09:12:51 GMT 2024","Tue Mar 05 09:13:18 GMT 2024","26706","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserShouldBeAbleToCreateBuildConfig","authorizedUserShouldBeAbleToCreateBuildConfig",""
"passed","Tue Mar 05 09:12:22 GMT 2024","Tue Mar 05 09:12:23 GMT 2024","199","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWithSameIdTest","unsuccessfulBuildConfigurationWithSameIdTest",""
"passed","Tue Mar 05 09:14:00 GMT 2024","Tue Mar 05 09:14:12 GMT 2024","11343","UI Suite","UI Test","com.example.teamcity.ui.CreateNewUiProjectTest","com.example.teamcity.ui.CreateNewUiProjectTest","authorizedUserShouldNotBeAbleToCreateProjectWithSameName","authorizedUserShouldNotBeAbleToCreateProjectWithSameName",""
"passed","Tue Mar 05 09:13:54 GMT 2024","Tue Mar 05 09:14:00 GMT 2024","5782","UI Suite","UI Test","com.example.teamcity.ui.CreateNewUiProjectTest","com.example.teamcity.ui.CreateNewUiProjectTest","authorizedUserShouldNotBeAbleToCreateProjectWithEmptyName","authorizedUserShouldNotBeAbleToCreateProjectWithEmptyName",""
"passed","Tue Mar 05 09:12:19 GMT 2024","Tue Mar 05 09:12:20 GMT 2024","148","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWithId256CharactersTest","unsuccessfulBuildConfigurationWithId256CharactersTest",""
"passed","Tue Mar 05 09:12:38 GMT 2024","Tue Mar 05 09:12:38 GMT 2024","76","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithSameNameTest","unsuccessfulProjectCreationWithSameNameTest",""
"passed","Tue Mar 05 09:12:34 GMT 2024","Tue Mar 05 09:12:34 GMT 2024","79","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithEmptyNameTest","unsuccessfulProjectCreationWithEmptyNameTest",""
"passed","Tue Mar 05 09:12:29 GMT 2024","Tue Mar 05 09:12:29 GMT 2024","77","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","successfulProjectCreationWithId255CharactersTest","successfulProjectCreationWithId255CharactersTest",""
"passed","Tue Mar 05 09:12:35 GMT 2024","Tue Mar 05 09:12:35 GMT 2024","54","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithNullNameTest","unsuccessfulProjectCreationWithNullNameTest",""
"passed","Tue Mar 05 09:12:24 GMT 2024","Tue Mar 05 09:12:25 GMT 2024","549","API Suite","API Test","com.example.teamcity.api.BuildRunTest","com.example.teamcity.api.BuildRunTest","successfulBuildRunTest","successfulBuildRunTest",""
"passed","Tue Mar 05 09:12:40 GMT 2024","Tue Mar 05 09:12:40 GMT 2024","52","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithWrongParentRootTest","unsuccessfulProjectCreationWithWrongParentRootTest",""
"broken","Tue Mar 05 09:13:18 GMT 2024","Tue Mar 05 09:13:30 GMT 2024","11913","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserShouldBeAbleToCreateBuildConfigWithLongBuildIdContainingDifferentCharacters","authorizedUserShouldBeAbleToCreateBuildConfigWithLongBuildIdContainingDifferentCharacters",""
"broken","Tue Mar 05 09:14:12 GMT 2024","Tue Mar 05 09:14:20 GMT 2024","8400","UI Suite","UI Test","com.example.teamcity.ui.RunUiBuildConfigTest","com.example.teamcity.ui.RunUiBuildConfigTest","authorizedUserShouldBeAbleToRunBuildConfig","authorizedUserShouldBeAbleToRunBuildConfig",""
"passed","Tue Mar 05 09:13:45 GMT 2024","Tue Mar 05 09:13:54 GMT 2024","8915","UI Suite","UI Test","com.example.teamcity.ui.CreateNewUiProjectTest","com.example.teamcity.ui.CreateNewUiProjectTest","authorizedUserShouldBeAbleToCreateProjectWith255CharactersName","authorizedUserShouldBeAbleToCreateProjectWith255CharactersName",""
"passed","Tue Mar 05 09:12:23 GMT 2024","Tue Mar 05 09:12:23 GMT 2024","174","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWithSameNameTest","unsuccessfulBuildConfigurationWithSameNameTest",""
"passed","Tue Mar 05 09:12:32 GMT 2024","Tue Mar 05 09:12:32 GMT 2024","179","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithAssociatedSettingsFalseTest","unsuccessfulProjectCreationWithAssociatedSettingsFalseTest",""
